Src_IP,Dest_IP,Flow_IAT_Min,Src_port,Tot_Fwd_Pkts,Init_Bwd_Win_Bytes,Label
192.168.1.93,10.0.0.179,62.654668188879384,63424,100,1613,0
192.168.1.130,10.0.0.204,35.961647240709205,35009,4,7637,0
192.168.1.78,10.0.0.165,46.79188429127332,39983,3,1183,0
192.168.1.108,10.0.0.73,80.56707784390004,50665,52,6342,0
192.168.1.179,10.0.0.17,82.71009876898002,39221,46,497,0
192.168.1.132,10.0.0.207,60.069552160344784,33101,98,2206,0
192.168.1.174,10.0.0.130,14.604483421764623,34131,20,5224,0
192.168.1.54,10.0.0.65,97.4573372351948,42053,59,3790,0
192.168.1.190,10.0.0.40,99.63535829977057,70,40,2479,1
192.168.1.219,10.0.0.7,54.2070507520644,775,30,8660,1
192.168.1.240,10.0.0.79,97.5256008219748,19905,35,9467,0
192.168.1.181,10.0.0.27,67.8575105010463,63843,38,9200,0
192.168.1.139,10.0.0.12,10.72072332528007,53425,96,8007,0
192.168.1.4,10.0.0.52,56.4258708720171,56266,30,2364,0
192.168.1.183,10.0.0.100,50.88768947804064,9044,75,8328,0
192.168.1.212,10.0.0.109,30.167496618817978,51422,3,3293,0
192.168.1.74,10.0.0.65,5.278176588192149,33948,1,1407,0
192.168.1.85,10.0.0.21,94.04457708229909,3742,72,5115,0
192.168.1.100,10.0.0.17,36.83348753563315,3718,75,5805,0
192.168.1.201,10.0.0.113,77.15449110265538,42055,83,6094,0
192.168.1.194,10.0.0.204,53.38519390053595,61603,95,7764,1
192.168.1.15,10.0.0.19,54.863905208949376,5137,5,4483,1
192.168.1.31,10.0.0.120,69.01711651342417,33744,14,4075,0
192.168.1.170,10.0.0.103,11.53016931327726,3820,39,4427,0
192.168.1.231,10.0.0.201,27.774164762829702,32609,93,3821,0
192.168.1.232,10.0.0.96,23.449377906909838,4974,63,9916,0
192.168.1.106,10.0.0.174,3.2970600025480117,33135,97,2981,1
192.168.1.54,10.0.0.105,96.15662555692639,44010,32,5246,0
192.168.1.211,10.0.0.207,33.14291921775911,5661,10,6317,0
192.168.1.85,10.0.0.186,51.11939983022288,3618,23,9231,0
192.168.1.201,10.0.0.48,18.62439510041277,61818,99,5121,1
192.168.1.3,10.0.0.62,80.1708830836288,36466,22,4154,0
192.168.1.86,10.0.0.224,77.74644789941183,49331,93,5697,1
192.168.1.174,10.0.0.28,28.400383167289505,21794,45,1569,0
192.168.1.6,10.0.0.224,98.91330969392473,10330,50,611,0
192.168.1.123,10.0.0.57,23.910433841474113,20755,61,1986,1
192.168.1.100,10.0.0.172,65.47569348156522,64837,68,4986,0
192.168.1.53,10.0.0.58,1.842588565160872,58368,73,204,0
192.168.1.226,10.0.0.55,20.303886787402455,50399,92,6591,1
192.168.1.46,10.0.0.51,84.8742515119246,11046,57,7026,1
192.168.1.160,10.0.0.46,2.150032032166278,29507,3,9548,0
192.168.1.251,10.0.0.230,20.016469308381655,41293,98,1915,0
192.168.1.19,10.0.0.157,68.75497561213486,58658,93,2006,0
192.168.1.97,10.0.0.60,2.609227133327572,58960,8,3023,0
192.168.1.114,10.0.0.197,69.12681934479157,34417,53,1781,0
192.168.1.40,10.0.0.78,47.33693185374571,25783,31,880,0
192.168.1.75,10.0.0.220,13.86769159359433,18087,90,4473,0
192.168.1.5,10.0.0.141,88.84806770878185,37229,37,3339,0
192.168.1.18,10.0.0.22,76.47927667423765,29694,17,7094,0
192.168.1.191,10.0.0.188,39.99716354576381,29688,50,2315,1
192.168.1.131,10.0.0.71,29.069677043162134,35193,55,1405,0
192.168.1.9,10.0.0.200,30.455211551512534,23675,64,7247,0
192.168.1.237,10.0.0.33,28.053224847905675,41017,47,9065,1
192.168.1.254,10.0.0.25,19.25547911505521,17177,64,7429,0
192.168.1.249,10.0.0.71,56.75709130502126,63148,77,4545,0
192.168.1.112,10.0.0.130,2.4213048643964026,29250,40,7384,0
192.168.1.200,10.0.0.231,40.37587329120616,5140,66,8768,0
192.168.1.41,10.0.0.24,87.67545250458603,36721,20,5134,1
192.168.1.254,10.0.0.197,98.51677736037304,62333,19,8168,0
192.168.1.19,10.0.0.234,79.58477633695391,61970,59,4545,0
192.168.1.199,10.0.0.254,90.08936582732069,51099,55,7564,0
192.168.1.143,10.0.0.217,46.41324902551414,64520,47,4657,1
192.168.1.21,10.0.0.180,87.26191010669253,48465,89,7516,1
192.168.1.147,10.0.0.254,80.54055999097663,25570,43,8541,0
192.168.1.235,10.0.0.96,44.86255845445727,36526,78,3574,0
192.168.1.15,10.0.0.160,92.52661209164104,32112,1,9235,0
192.168.1.103,10.0.0.134,5.906043364090977,43539,33,9304,1
192.168.1.138,10.0.0.181,78.80657953264767,14675,53,5816,1
192.168.1.152,10.0.0.162,18.033835155817794,28117,21,8937,0
192.168.1.29,10.0.0.213,62.614232064610505,17572,31,680,0
192.168.1.195,10.0.0.212,38.391266650089236,42041,72,2061,1
192.168.1.1,10.0.0.134,3.021022542658332,51670,89,2721,1
192.168.1.52,10.0.0.171,21.41134216615864,7549,76,2315,1
192.168.1.137,10.0.0.245,24.961948040774992,60517,75,2496,0
192.168.1.100,10.0.0.103,31.295542271697474,6780,21,8567,0
192.168.1.158,10.0.0.32,80.98040684638796,63812,58,8351,0
192.168.1.47,10.0.0.149,63.75171775367928,62961,84,3955,1
192.168.1.59,10.0.0.64,82.27648950582099,35901,16,8279,1
192.168.1.59,10.0.0.184,48.60264845140314,35613,27,7749,0
192.168.1.20,10.0.0.86,25.518482494374986,8036,66,2710,0
192.168.1.4,10.0.0.5,74.0451926893515,5346,17,4915,0
192.168.1.175,10.0.0.29,87.73598565467258,51162,1,3036,0
192.168.1.139,10.0.0.14,97.99733425538282,26339,57,920,0
192.168.1.46,10.0.0.41,16.451686938278456,52821,54,9524,0
192.168.1.185,10.0.0.72,55.39378571193738,57457,65,8917,0
192.168.1.141,10.0.0.133,80.6932839651659,23470,55,979,0
192.168.1.254,10.0.0.54,48.25089988449446,61692,36,766,0
192.168.1.202,10.0.0.217,46.95877699831461,17040,50,6480,0
192.168.1.14,10.0.0.208,5.4722498340226995,24218,9,6550,1
192.168.1.107,10.0.0.244,9.86639834257567,44166,83,587,0
192.168.1.35,10.0.0.214,25.38008682345414,33412,76,1597,0
192.168.1.222,10.0.0.26,62.93457235093555,18995,28,2179,0
192.168.1.60,10.0.0.239,52.1304536627443,25114,89,9909,0
192.168.1.152,10.0.0.254,85.17141958390555,52553,33,5158,0
192.168.1.79,10.0.0.70,66.45406893038589,29469,88,7929,1
192.168.1.24,10.0.0.11,17.487896121136046,22371,83,5963,0
192.168.1.73,10.0.0.13,95.96405010360964,49687,59,8660,0
192.168.1.188,10.0.0.37,46.645679431532045,29322,49,9284,1
192.168.1.112,10.0.0.61,96.31389418551812,43232,46,4359,0
192.168.1.219,10.0.0.251,4.6683093537042355,4162,73,1664,1
